Item,Quantity,Calories
Beer,355 ml,153 cal
Gin(47%),45 ml,116 cal
Rum(47%),45 ml,116 cal
Vodka(47%),45 ml,116 cal
Whiskey(47%),45 ml,116 cal
Coffee Liquer,45 ml,160 cal
Coffee with cream,45 ml,154 cal
Bloody Mary,136 ml,120 cal
Chocolate Martini,74 ml,418 cal
Margarita,120 ml,168 cal
Pina Colada,200 ml,526 cal
Mojito,177 ml,143 cal
Burgundy,145 ml,122 cal
Mint Julep,135 ml,165 cal
Hot Buttered Rum,235 ml,292 cal
