Exercise Name,Calories Burnt
"Mowing lawn, riding mower",176
"Walking, snow blower",246
"Riding, snow blower",211
Shoveling snow by hand,422
Raking lawn,303
"Gardening, general",281
"Bagging grass, leaves",281
Watering lawn or garden,106
"Weeding, cultivating garden",317
"Carpentry, general",246
Carrying heavy loads,563
Carrying moderate loads upstairs,563
General cleaning,246
"Cleaning, dusting",176
Taking out trash,211
"Walking, pushing a wheelchair",281
"Teach physical education,exercise class",281
